employeenumber,age,attrition,businesstravel,distancefromhome,education,educationfield,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,numero_empresas_anteriores,horas_extra,incremento_salario,nivel_trabajo,satisfaccion_relaciones_interpersonales,clasificacion_jornada,años_experiencia,cursos,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,salary,remotework,salary_month
391,31,No,travel_rarely,8,1,Medical,2,M,2,2, Manufacturing Director ,4,Married,1,Unknown,15,3,3,Unknown,10.0,2,Medio,10,1,2,65245.88,Yes,5437.16
392,42,No,Unknown,7,4,Life Sciences,2,F,3,3, Research Director ,3,Unknown,9,No,17,3,3,Full Time,20.0,3,Medio,18,2,13,134990.0,No,11249.17
393,28,No,travel_rarely,3,4,Life Sciences,1,M,4,1, Laboratory Technician ,4,Unknown,1,Unknown,22,4,2,Part Time,8.0,2,Alto,8,0,7,28111.13,Yes,2342.59
394,37,No,travel_rarely,2,3,Life Sciences,3,M,2,3, Manufacturing Director ,2,Divorced,2,No,18,3,2,Unknown,15.0,2,Muy alto,7,6,4,65245.88,Yes,5437.16
395,55,No,Unknown,7,2,Medical,4,F,3,5, Manager ,3,Divorced,3,No,18,3,2,Full Time,26.0,6,Alto,7,4,7,191324.62,No,15943.72
396,37,No,Unknown,17,4,Life Sciences,3,M,3,2, Sales Executive ,1,Unknown,3,Unknown,15,3,4,Part Time,15.0,2,Alto,7,1,7,53914.11,Yes,4492.84
397,35,No,Unknown,25,3,Medical,2,F,3,2, Sales Executive ,3,Unknown,1,No,12,3,1,Part Time,11.32,3,Medio,10,0,1,53914.11,Yes,4492.84
398,38,No,Unknown,6,4,Life Sciences,3,M,1,1, Laboratory Technician ,3,Divorced,1,No,14,3,3,Part Time,11.32,4,Alto,7,1,7,28111.13,Yes,2342.59
399,32,No,travel_rarely,7,4,Life Sciences,3,M,3,2, Laboratory Technician ,3,Divorced,1,Unknown,13,3,1,Part Time,11.32,4,Medio,10,8,9,34910.0,Yes,2909.17
400,62,No,Unknown,7,4,Life Sciences,2,M,4,2, Sales Executive ,4,Divorced,0,Unknown,18,3,2,Unknown,12.0,3,Alto,11,1,9,65245.88,Yes,5437.16
401,34,No,Unknown,2,2,Life Sciences,4,F,3,2, Research Scientist ,3,Single,4,Yes,14,3,4,Part Time,10.0,2,Alto,8,0,7,53914.11,No,4492.84
402,38,No,Unknown,1,3,Technical Degree,3,F,1,3, Manufacturing Director ,1,Divorced,2,Yes,21,4,3,Full Time,17.0,2,Alto,7,7,7,102520.0,Yes,8543.33
403,29,No,travel_rarely,14,3,Life Sciences,1,M,3,1, Research Scientist ,1,Unknown,1,Unknown,14,3,4,Unknown,11.32,3,Medio,9,6,8,65245.88,Yes,5437.16
404,45,No,Unknown,3,3,Life Sciences,3,M,1,5, Research Director ,4,Unknown,3,No,14,3,2,Full Time,11.32,2,Alto,8,0,7,197400.0,Yes,16450.0
405,31,No,travel_rarely,1,3,Life Sciences,4,F,2,4, Research Director ,4,Divorced,3,No,14,3,2,Full Time,9.0,2,Medio,7,1,7,153407.07,Yes,12783.92
406,61,No,Unknown,7,4,Life Sciences,2,M,3,3, Manufacturing Director ,4,Single,6,No,12,3,4,Part Time,11.32,6,Medio,9,5,4,100071.84,No,8339.32
407,45,No,travel_rarely,4,4,Marketing,4,F,2,3, Sales Executive ,4,Single,3,No,14,3,4,Part Time,23.0,3,Muy alto,21,15,17,100071.84,Yes,8339.32
408,46,Yes,travel_rarely,15,3,Medical,1,F,3,3, Healthcare Representative ,4,Married,1,Unknown,11,3,4,Part Time,11.32,2,Alto,10,0,5,100071.84,Yes,8339.32
409,31,Yes,Unknown,7,3,Technical Degree,2,F,3,1, Laboratory Technician ,3,Divorced,3,Yes,13,3,1,Unknown,10.0,2,Alto,7,7,7,65245.88,Yes,5437.16
410,34,No,travel_rarely,8,3,Life Sciences,3,M,4,2, Sales Executive ,4,Married,1,Unknown,15,3,3,Full Time,11.32,4,Muy alto,10,0,8,62090.0,No,5174.17
411,38,No,travel_rarely,10,4,Technical Degree,4,F,3,3, Healthcare Representative ,3,Married,3,No,12,3,1,Part Time,11.32,0,Alto,7,1,7,70940.0,Yes,5911.67
412,54,Yes,Unknown,5,3,Life Sciences,2,M,3,3, Sales Executive ,2,Single,9,Yes,19,3,3,Part Time,11.32,2,Medio,8,7,7,100071.84,Yes,8339.32
413,41,No,travel_rarely,7,2,Life Sciences,1,M,3,2, Manufacturing Director ,3,Single,0,Unknown,11,3,1,Unknown,11.32,6,Unknown,8,1,7,45340.0,Yes,3778.33
414,36,No,Unknown,9,3,Life Sciences,4,M,3,3, Healthcare Representative ,4,Unknown,0,Unknown,11,3,4,Part Time,10.0,0,Medio,9,1,6,85000.0,Yes,7083.33
415,40,No,Unknown,2,2,Life Sciences,2,F,3,2, Sales Executive ,1,Unknown,3,Unknown,15,3,4,Unknown,11.0,3,Alto,7,1,7,53914.11,Yes,4492.84
416,38,No,travel_frequently,7,3,Marketing,1,F,4,2, Sales Executive ,1,Married,2,No,16,3,4,Part Time,11.32,2,Medio,15,6,13,46390.0,Yes,3865.83
417,37,No,Unknown,1,3,Life Sciences,4,F,2,2, Laboratory Technician ,4,Unknown,0,No,12,3,2,Part Time,10.0,0,Alto,9,0,0,53630.0,No,4469.17
418,57,Yes,Unknown,13,4,Life Sciences,1,M,4,4, Sales Executive ,3,Unknown,6,Unknown,17,3,3,Full Time,11.32,2,Medio,19,3,8,153407.07,Yes,12783.92
419,36,No,Unknown,29,3,Life Sciences,2,M,3,2, Laboratory Technician ,3,Unknown,4,Unknown,13,3,1,Part Time,10.0,1,Alto,8,7,7,53914.11,No,4492.84
420,45,No,Unknown,6,3,Medical,1,F,2,2, Research Scientist ,3,Single,1,Yes,14,3,1,Part Time,20.0,3,Mal,20,1,8,40810.0,No,3400.83
421,44,No,travel_rarely,10,3,Human Resources,3,F,3,4, Manager ,1,Married,0,Unknown,14,3,3,Full Time,21.0,5,Alto,20,0,9,153407.07,No,12783.92
422,28,No,travel_rarely,7,3,Life Sciences,3,M,4,1, Laboratory Technician ,1,Single,0,No,12,3,4,Full Time,8.0,2,Alto,7,0,7,35780.0,Yes,2981.67
423,31,Yes,Unknown,14,1,Other,3,F,3,3, Healthcare Representative ,4,Single,0,Yes,12,3,1,Part Time,11.32,1,Alto,8,7,7,100071.84,Yes,8339.32
424,56,No,Unknown,1,3,Life Sciences,4,F,3,4, Research Director ,4,Unknown,6,Unknown,19,3,4,Full Time,29.0,3,Medio,20,12,7,173280.0,No,14440.0
425,57,No,Unknown,1,4,Life Sciences,2,M,4,4, Research Director ,4,Divorced,2,No,13,3,4,Full Time,31.0,4,Muy alto,7,0,0,153407.07,Yes,12783.92
426,42,No,non-travel,9,4,Other,3,M,3,2, Laboratory Technician ,3,Unknown,3,No,11,3,3,Part Time,11.0,2,Unknown,8,0,7,53914.11,Yes,4492.84
427,33,No,Unknown,8,2,Life Sciences,1,M,3,3, Sales Executive ,4,Divorced,1,Unknown,18,3,1,Full Time,13.0,5,Alto,13,9,9,107930.0,Yes,8994.17
428,48,Yes,Unknown,9,3,Marketing,1,M,3,3, Sales Executive ,4,Divorced,4,No,11,3,1,Unknown,28.0,1,Muy alto,7,4,3,65245.88,Yes,5437.16
429,47,No,travel_rarely,20,3,Medical,2,M,1,3, Healthcare Representative ,1,Unknown,2,Yes,18,3,2,Full Time,11.32,2,Alto,7,0,7,108510.0,No,9042.5
430,51,No,travel_rarely,7,4,Life Sciences,3,M,3,3, Healthcare Representative ,2,Divorced,3,Unknown,14,3,2,Full Time,29.0,3,Alto,8,0,7,104660.0,No,8721.67
431,31,No,travel_rarely,19,3,Life Sciences,3,M,2,2, Sales Executive ,3,Unknown,1,Unknown,14,3,3,Part Time,10.0,3,Alto,10,0,4,53914.11,Yes,4492.84
432,31,Yes,Unknown,1,4,Technical Degree,1,M,2,1, Research Scientist ,1,Single,6,No,13,3,3,Part Time,11.32,2,Mal,9,0,7,23620.0,Yes,1968.33
433,31,No,Unknown,8,1,Other,3,F,1,2, Healthcare Representative ,1,Unknown,3,No,13,3,3,Part Time,9.0,3,Alto,7,0,7,53914.11,Yes,4492.84
434,42,No,travel_rarely,6,2,Life Sciences,3,M,3,4, Manager ,4,Single,1,Yes,21,4,4,Full Time,21.0,2,Alto,21,7,7,153407.07,Yes,12783.92
435,50,No,Unknown,16,4,Life Sciences,3,F,3,2, Sales Executive ,3,Divorced,8,No,14,3,3,Full Time,18.0,2,Unknown,8,7,7,64390.0,Yes,5365.83
436,55,Yes,Unknown,2,5,Life Sciences,3,F,2,3, Manufacturing Director ,4,Married,0,Unknown,16,3,2,Part Time,11.32,4,Alto,33,1,9,100071.84,Yes,8339.32
437,46,No,Unknown,7,3,Medical,2,F,3,5, Research Director ,4,Unknown,0,Yes,14,3,4,Unknown,11.32,4,Medio,22,1,10,191324.62,No,15943.72
438,47,No,Unknown,5,5,Life Sciences,3,F,1,2, Laboratory Technician ,1,Unknown,1,Unknown,14,3,1,Full Time,10.0,3,Alto,10,1,4,57690.0,No,4807.5
439,47,No,non-travel,26,3,Marketing,1,M,2,2, Sales Executive ,1,Unknown,1,Unknown,15,3,1,Unknown,10.0,2,Unknown,10,4,5,65245.88,No,5437.16
440,36,No,travel_frequently,10,4,Life Sciences,3,M,4,2, Manufacturing Director ,4,Unknown,1,Unknown,13,3,1,Part Time,9.0,3,Unknown,9,7,2,53914.11,Yes,4492.84
441,41,No,Unknown,10,5,Medical,2,M,3,2, Manufacturing Director ,1,Unknown,2,Unknown,13,3,4,Unknown,11.32,3,Alto,7,7,7,65245.88,No,5437.16
442,29,No,Unknown,7,3,Life Sciences,3,M,2,1, Laboratory Technician ,1,Divorced,1,No,11,3,1,Full Time,7.0,3,Alto,7,0,7,40660.0,Yes,3388.33
443,47,No,travel_rarely,2,2,Life Sciences,4,F,2,2, Manufacturing Director ,4,Divorced,1,Unknown,19,3,1,Unknown,10.0,3,Alto,10,3,9,65245.88,Yes,5437.16
444,46,No,Unknown,1,5,Life Sciences,1,M,3,2, Human Resources ,4,Married,4,Yes,11,3,3,Unknown,14.0,3,Alto,10,0,2,65245.88,Yes,5437.16
445,27,No,Unknown,2,1,Life Sciences,4,M,4,2, Manufacturing Director ,3,Divorced,1,Unknown,17,3,3,Part Time,7.0,6,Alto,7,0,7,52060.0,No,4338.33
446,51,No,Unknown,1,3,Life Sciences,3,M,3,4, Manager ,3,Single,4,Unknown,14,3,1,Full Time,23.0,2,Alto,8,0,0,153407.07,Yes,12783.92
447,50,Yes,travel_frequently,7,2,Life Sciences,4,F,3,1, Sales Representative ,3,Unknown,2,Unknown,11,3,3,Unknown,19.0,3,Alto,9,7,7,65245.88,No,5437.16
448,28,No,Unknown,7,3,Medical,4,M,3,1, Laboratory Technician ,4,Unknown,1,No,20,4,3,Part Time,7.0,5,Alto,7,5,7,25700.0,Yes,2141.67
449,46,No,travel_rarely,2,3,Life Sciences,3,F,4,3, Healthcare Representative ,4,Unknown,1,Unknown,19,3,2,Part Time,11.32,2,Alto,8,6,7,100071.84,Yes,8339.32
450,38,No,Unknown,2,4,Life Sciences,3,F,3,2, Sales Representative ,4,Single,3,Unknown,15,3,3,Part Time,17.0,2,Medio,13,6,7,45020.0,Yes,3751.67
451,48,No,Unknown,13,4,Life Sciences,3,M,3,2, Healthcare Representative ,2,Single,6,No,14,3,4,Part Time,19.0,3,Alto,10,0,9,53914.11,Yes,4492.84
452,37,No,Unknown,27,4,Life Sciences,4,M,3,2, Manufacturing Director ,3,Married,2,Unknown,16,3,2,Part Time,17.0,3,Alto,7,0,7,53914.11,Yes,4492.84
453,32,No,travel_frequently,2,4,Life Sciences,4,F,2,1, Research Scientist ,1,Unknown,0,Unknown,16,3,4,Unknown,10.0,2,Unknown,9,0,7,49680.0,No,4140.0
454,32,No,Unknown,15,2,Marketing,3,M,2,3, Sales Executive ,1,Unknown,2,No,11,3,1,Part Time,11.32,2,Alto,7,1,7,100071.84,Yes,8339.32
455,35,No,non-travel,2,3,Marketing,4,F,3,2, Sales Executive ,2,Unknown,8,No,15,3,4,Part Time,13.0,2,Medio,11,1,7,51470.0,Yes,4289.17
456,34,No,Unknown,5,4,Life Sciences,2,M,3,1, Research Scientist ,2,Single,2,No,14,3,2,Part Time,12.0,3,Alto,7,0,7,27180.0,Yes,2265.0
457,45,No,travel_rarely,2,3,Life Sciences,2,M,3,1, Human Resources ,4,Unknown,0,No,13,3,2,Unknown,11.32,5,Alto,9,1,8,65245.88,No,5437.16
458,33,No,travel_rarely,29,4,Marketing,1,F,2,2, Sales Executive ,4,Unknown,1,Unknown,14,3,1,Full Time,11.32,3,Alto,12,5,7,54680.0,Yes,4556.67
459,37,Yes,Unknown,27,3,Life Sciences,3,M,3,2, Sales Executive ,4,Unknown,1,Unknown,18,3,4,Unknown,11.32,2,Alto,10,7,7,65245.88,No,5437.16
460,37,No,non-travel,2,2,Medical,2,M,3,2, Manufacturing Director ,4,Divorced,2,No,14,3,3,Unknown,15.0,6,Alto,7,1,7,53914.11,No,4492.84
461,32,No,Unknown,10,3,Medical,1,F,3,3, Manufacturing Director ,3,Single,9,No,14,3,2,Part Time,9.0,3,Alto,7,0,2,96670.0,No,8055.83
462,48,Yes,travel_rarely,7,2,Medical,4,F,3,2, Healthcare Representative ,2,Married,4,No,22,4,4,Unknown,13.0,2,Muy alto,9,3,7,65245.88,No,5437.16
463,47,No,non-travel,2,4,Life Sciences,3,F,3,2, Sales Executive ,3,Married,4,Unknown,22,4,2,Part Time,10.0,3,Muy alto,8,5,7,51540.0,No,4295.0
464,45,No,travel_frequently,2,4,Life Sciences,1,M,3,2, Sales Executive ,4,Married,1,Unknown,20,4,3,Full Time,7.0,5,Alto,7,7,7,56750.0,No,4729.17
465,48,Yes,Unknown,10,3,Life Sciences,3,F,3,3, Sales Executive ,2,Unknown,5,Unknown,21,4,3,Part Time,14.0,2,Alto,8,0,7,73140.0,Yes,6095.0
466,42,No,travel_rarely,1,4,Life Sciences,1,M,3,4, Manager ,1,Unknown,2,Unknown,11,3,1,Unknown,22.0,3,Unknown,19,11,16,65245.88,Yes,5437.16
467,29,No,travel_rarely,2,2,Life Sciences,1,F,4,2, Sales Executive ,3,Single,0,No,14,3,2,Part Time,9.0,5,Medio,8,0,7,53914.11,No,4492.84
468,44,No,Unknown,6,3,Medical,3,M,3,3, Research Director ,1,Married,9,No,13,3,2,Unknown,18.0,3,Muy alto,13,5,7,65245.88,Yes,5437.16
469,28,No,travel_frequently,6,3,Other,3,M,4,1, Laboratory Technician ,4,Married,0,No,18,3,1,Part Time,8.0,3,Alto,7,7,7,28111.13,Yes,2342.59
470,30,No,travel_frequently,1,2,Life Sciences,3,M,2,2, Sales Executive ,4,Married,1,Unknown,12,3,3,Part Time,7.0,2,Alto,7,0,7,53914.11,Yes,4492.84
471,49,No,Unknown,14,4,Life Sciences,3,M,3,2, Research Scientist ,2,Married,8,Unknown,18,3,3,Part Time,11.32,4,Muy alto,8,1,7,53914.11,No,4492.84
472,36,No,travel_rarely,13,4,Medical,4,M,3,3, Sales Executive ,3,Divorced,1,No,18,3,3,Part Time,9.0,2,Medio,8,1,1,100071.84,Yes,8339.32
473,28,No,Unknown,1,3,Medical,3,M,3,1, Laboratory Technician ,1,Single,0,No,13,3,4,Part Time,8.0,6,Unknown,7,7,6,28111.13,Yes,2342.59
474,29,No,travel_rarely,9,3,Life Sciences,4,M,3,2, Sales Executive ,4,Unknown,1,Unknown,14,3,1,Part Time,11.32,5,Unknown,7,0,7,53914.11,No,4492.84
475,33,Yes,travel_frequently,26,4,Marketing,1,M,3,2, Sales Executive ,4,Unknown,1,Yes,11,3,3,Part Time,10.0,4,Alto,10,0,8,53914.11,Yes,4492.84
476,35,No,travel_frequently,7,2,Life Sciences,4,M,3,2, Healthcare Representative ,3,Divorced,1,Unknown,20,3,3,Unknown,9.0,2,Alto,9,2,8,65245.88,Yes,5437.16
477,33,No,Unknown,10,3,Life Sciences,3,F,3,3, Research Director ,3,Married,4,No,20,4,3,Part Time,13.0,2,Muy alto,11,4,8,100071.84,Yes,8339.32
478,37,No,Unknown,9,4,Medical,2,M,3,2, Research Scientist ,3,Unknown,1,No,19,3,2,Part Time,10.0,5,Alto,10,0,8,50980.0,Yes,4248.33
479,35,No,travel_rarely,15,2,Life Sciences,2,F,3,2, Healthcare Representative ,4,Married,0,Yes,13,3,1,Part Time,11.32,6,Alto,9,8,1,53914.11,Yes,4492.84
480,41,No,travel_rarely,24,1,Life Sciences,1,M,3,2, Research Scientist ,4,Single,7,No,13,3,1,Unknown,11.32,2,Alto,7,1,7,65245.88,No,5437.16
481,38,No,travel_rarely,7,3,Life Sciences,4,F,2,3, Sales Executive ,4,Married,0,No,19,3,3,Part Time,10.0,2,Alto,9,3,4,100071.84,Yes,8339.32
482,43,No,travel_rarely,28,4,Life Sciences,1,F,2,4, Manufacturing Director ,2,Married,0,No,23,3,3,Full Time,21.0,3,Alto,20,0,10,135700.0,Yes,11308.33
483,36,No,Unknown,28,3,Marketing,4,F,2,2, Sales Executive ,3,Married,1,No,21,4,4,Full Time,8.0,2,Alto,8,1,7,67120.0,No,5593.33
484,40,No,travel_rarely,10,2,Life Sciences,1,F,3,2, Sales Executive ,4,Married,1,No,11,3,3,Unknown,10.0,1,Alto,10,1,9,65245.88,Yes,5437.16
485,41,No,travel_rarely,6,1,Life Sciences,4,M,2,3, Healthcare Representative ,1,Unknown,4,Unknown,15,3,1,Part Time,11.32,5,Alto,7,1,7,99910.0,Yes,8325.83
486,36,No,travel_rarely,7,4,Life Sciences,1,F,3,3, Research Director ,2,Single,0,No,11,3,3,Part Time,11.32,4,Alto,12,2,11,100071.84,No,8339.32
487,46,No,travel_rarely,7,4,Medical,1,F,2,3, Healthcare Representative ,4,Married,3,Unknown,14,3,4,Full Time,24.0,4,Alto,22,5,17,102480.0,Yes,8540.0
488,48,No,Unknown,5,4,Life Sciences,1,M,3,2, Sales Executive ,4,Single,4,Unknown,21,3,3,Part Time,14.0,4,Alto,9,0,8,53914.11,Yes,4492.84
489,43,No,travel_frequently,10,3,Life Sciences,4,M,2,4, Manager ,1,Divorced,4,Unknown,13,3,2,Full Time,11.32,2,Medio,7,7,7,153407.07,No,12783.92
490,41,No,Unknown,2,4,Life Sciences,3,F,3,3, Healthcare Representative ,3,Single,0,No,25,4,4,Unknown,20.0,1,Alto,19,11,8,65245.88,No,5437.16
491,44,No,travel_rarely,2,3,Medical,4,F,2,1, Laboratory Technician ,1,Divorced,0,Yes,11,3,3,Part Time,10.0,4,Alto,9,7,8,25930.0,Yes,2160.83
492,35,No,travel_frequently,5,4,Life Sciences,4,F,3,3, Manager ,2,Married,6,Unknown,11,3,2,Unknown,12.0,2,Alto,10,8,8,65245.88,Yes,5437.16
493,37,No,travel_rarely,5,4,Technical Degree,3,M,3,3, Manufacturing Director ,2,Single,0,No,13,3,4,Part Time,17.0,5,Alto,16,0,13,80950.0,Yes,6745.83
494,35,Yes,travel_rarely,15,1,Medical,2,M,3,3, Manager ,3,Married,7,Unknown,12,3,4,Part Time,15.0,2,Muy alto,7,7,7,100071.84,Yes,8339.32
495,42,No,travel_rarely,6,3,Life Sciences,2,F,3,4, Manufacturing Director ,3,Single,7,No,15,3,3,Full Time,22.0,3,Alto,20,5,13,153407.07,No,12783.92
496,43,No,travel_rarely,10,4,Human Resources,2,M,2,5, Manager ,4,Divorced,3,No,15,3,2,Full Time,23.0,2,Medio,21,12,6,191324.62,No,15943.72
497,29,No,Unknown,7,3,Life Sciences,4,F,2,2, Healthcare Representative ,1,Unknown,8,No,19,3,1,Part Time,11.32,2,Mal,7,0,7,53914.11,No,4492.84
498,54,No,travel_rarely,3,4,Marketing,3,M,2,4, Manager ,1,Unknown,1,Unknown,11,3,1,Full Time,11.32,3,Muy alto,34,1,16,168560.0,Yes,14046.67
499,53,No,travel_rarely,26,4,Marketing,1,F,3,4, Manager ,3,Married,2,No,14,3,3,Full Time,11.32,2,Medio,20,4,17,153407.07,No,12783.92
500,49,No,travel_rarely,2,2,Marketing,3,F,3,2, Sales Executive ,4,Unknown,0,Unknown,22,4,1,Part Time,8.0,2,Alto,7,7,7,45370.0,Yes,3780.83
501,52,No,non-travel,2,4,Life Sciences,1,M,3,4, Manager ,1,Divorced,1,Unknown,11,3,4,Full Time,31.0,3,Alto,31,14,7,179240.0,No,14936.67
502,37,No,travel_rarely,21,1,Life Sciences,4,F,3,2, Healthcare Representative ,4,Married,1,Unknown,25,4,4,Part Time,10.0,2,Mal,10,0,7,40140.0,Yes,3345.0
503,41,No,travel_rarely,1,1,Life Sciences,4,F,2,4, Manufacturing Director ,4,Married,1,No,16,3,3,Full Time,11.32,3,Alto,21,11,8,127420.0,Yes,10618.33
504,41,No,travel_frequently,22,3,Medical,4,F,3,3, Manufacturing Director ,1,Single,1,Unknown,13,3,3,Part Time,11.32,2,Alto,21,2,8,100071.84,No,8339.32
505,43,No,Unknown,7,2,Life Sciences,2,F,4,1, Research Scientist ,3,Unknown,1,No,13,3,3,Full Time,11.32,3,Alto,10,0,8,33760.0,No,2813.33
506,46,Yes,Unknown,1,2,Medical,2,M,2,3, Human Resources ,1,Married,9,No,14,3,4,Full Time,24.0,1,Alto,20,3,6,104820.0,Yes,8735.0
507,44,No,Unknown,2,2,Medical,4,M,3,4, Manager ,1,Unknown,0,No,17,3,4,Unknown,23.0,3,Alto,22,13,7,65245.88,No,5437.16
508,54,No,travel_rarely,7,4,Life Sciences,2,M,3,3, Healthcare Representative ,2,Single,7,Unknown,19,3,4,Part Time,18.0,4,Unknown,8,4,0,100071.84,Yes,8339.32
509,40,No,Unknown,1,3,Life Sciences,3,M,4,1, Human Resources ,3,Unknown,1,No,13,3,4,Part Time,7.0,2,Muy alto,7,5,0,28111.13,Yes,2342.59
510,48,No,Unknown,1,2,Life Sciences,4,F,3,1, Human Resources ,1,Unknown,6,Unknown,12,3,3,Part Time,10.0,3,Muy alto,7,5,7,28111.13,Yes,2342.59
511,37,No,Unknown,4,4,Life Sciences,3,M,3,2, Research Scientist ,3,Single,1,Unknown,11,3,2,Part Time,11.32,3,Alto,9,1,1,42490.0,No,3540.83
512,30,No,travel_rarely,29,1,Life Sciences,3,M,1,2, Manufacturing Director ,2,Married,1,Unknown,14,3,2,Unknown,8.0,2,Medio,8,1,7,65245.88,Yes,5437.16
513,46,No,Unknown,28,3,Life Sciences,4,M,3,4, Research Director ,1,Married,3,No,13,3,3,Unknown,11.32,1,Muy alto,20,14,17,65245.88,Yes,5437.16
514,52,No,Unknown,22,5,Life Sciences,3,M,1,4, Research Director ,4,Unknown,1,Unknown,13,3,4,Unknown,11.32,2,Alto,32,13,9,65245.88,No,5437.16
515,57,No,travel_rarely,7,5,Marketing,3,M,2,5, Manager ,4,Unknown,1,No,21,4,3,Full Time,36.0,3,Alto,36,2,13,195860.0,Yes,16321.67
516,41,No,Unknown,6,3,Life Sciences,4,M,4,3, Sales Executive ,3,Married,2,No,11,3,1,Part Time,11.0,3,Alto,7,7,6,82370.0,Yes,6864.17
517,51,No,Unknown,7,4,Life Sciences,1,F,3,1, Laboratory Technician ,1,Unknown,1,Unknown,14,3,4,Unknown,10.0,3,Medio,9,1,4,65245.88,Yes,5437.16
518,47,No,Unknown,28,2,Technical Degree,4,F,2,4, Research Director ,2,Single,1,Unknown,11,3,3,Unknown,21.0,2,Alto,21,8,6,65245.88,No,5437.16
519,48,No,Unknown,2,3,Life Sciences,3,M,3,3, Sales Executive ,4,Unknown,4,Unknown,12,3,2,Part Time,11.32,5,Medio,10,0,3,100071.84,No,8339.32
520,29,No,Unknown,15,3,Life Sciences,4,F,2,1, Research Scientist ,1,Married,0,No,19,3,4,Full Time,11.32,2,Unknown,7,7,3,47740.0,No,3978.33
521,44,No,travel_rarely,2,3,Life Sciences,1,M,3,5, Manager ,3,Married,5,Unknown,11,3,1,Unknown,24.0,2,Medio,22,4,14,65245.88,Yes,5437.16
522,51,No,Unknown,2,3,Life Sciences,4,M,2,2, Sales Executive ,2,Married,2,Unknown,14,3,4,Part Time,17.0,3,Medio,9,0,8,53914.11,Yes,4492.84
523,31,No,travel_rarely,15,2,Life Sciences,4,F,2,2, Laboratory Technician ,3,Single,0,Yes,12,3,4,Part Time,10.0,3,Alto,9,0,8,53914.11,Yes,4492.84
524,36,No,non-travel,7,4,Marketing,1,M,3,2, Sales Executive ,3,Unknown,0,No,20,4,3,Part Time,11.32,2,Alto,9,8,7,45680.0,No,3806.67
525,39,No,Unknown,1,4,Life Sciences,1,M,2,2, Manufacturing Director ,3,Divorced,1,No,18,3,3,Unknown,11.32,2,Unknown,7,0,7,59930.0,No,4994.17
526,38,No,Unknown,11,3,Life Sciences,2,M,2,2, Manufacturing Director ,2,Single,1,No,13,3,3,Full Time,6.0,3,Alto,6,0,3,64990.0,Yes,5415.83
527,47,No,Unknown,29,3,Life Sciences,3,M,3,1, Research Scientist ,4,Single,5,Unknown,13,3,2,Full Time,9.0,2,Medio,6,0,3,34520.0,Yes,2876.67
528,31,No,travel_rarely,15,3,Life Sciences,3,M,3,1, Research Scientist ,4,Unknown,1,No,19,3,1,Part Time,6.0,1,Alto,6,1,5,28111.13,No,2342.59
529,28,No,Unknown,1,3,Life Sciences,3,F,3,2, Manufacturing Director ,2,Unknown,1,No,20,4,1,Full Time,6.0,6,Mal,6,1,4,63970.0,No,5330.83
530,30,No,Unknown,9,4,Life Sciences,2,M,3,2, Sales Executive ,4,Single,1,No,16,3,4,Part Time,11.32,1,Alto,7,0,7,53914.11,Yes,4492.84
531,44,No,travel_frequently,7,4,Technical Degree,4,F,2,2, Healthcare Representative ,4,Married,0,No,11,3,4,Unknown,7.0,4,Muy alto,6,0,4,53914.11,Yes,4492.84
532,33,No,travel_rarely,2,1,Life Sciences,2,M,3,2, Sales Executive ,4,Unknown,4,Yes,13,3,3,Part Time,10.0,2,Muy alto,6,0,5,53914.11,Yes,4492.84
533,39,No,travel_rarely,7,3,Life Sciences,4,F,3,3, Manufacturing Director ,4,Single,4,Unknown,17,3,4,Part Time,11.32,3,Muy alto,6,1,2,100071.84,Yes,8339.32
534,39,No,non-travel,9,4,Life Sciences,1,M,3,3, Sales Executive ,2,Divorced,1,No,13,3,4,Part Time,9.0,6,Alto,9,7,7,100071.84,No,8339.32
535,39,No,travel_rarely,1,4,Life Sciences,2,F,3,2, Manufacturing Director ,2,Married,6,Unknown,12,3,2,Part Time,8.0,2,Medio,6,4,3,53914.11,No,4492.84
536,26,No,travel_rarely,23,3,Medical,2,M,4,1, Research Scientist ,4,Unknown,1,Unknown,11,3,2,Part Time,11.32,3,Alto,6,1,4,27250.0,Yes,2270.83
537,52,No,Unknown,3,3,Life Sciences,1,M,3,5, Manager ,2,Married,1,No,11,3,3,Unknown,11.32,2,Alto,32,10,7,65245.88,No,5437.16
538,36,No,Unknown,1,2,Life Sciences,2,M,2,1, Research Scientist ,4,Unknown,1,Yes,13,3,4,Full Time,6.0,3,Alto,6,1,3,36220.0,Yes,3018.33
539,29,No,travel_frequently,3,1,Medical,4,F,4,2, Sales Executive ,4,Unknown,1,Unknown,20,3,2,Unknown,11.32,3,Alto,6,0,4,53914.11,No,4492.84
540,27,No,Unknown,7,1,Life Sciences,4,F,3,2, Sales Executive ,4,Single,1,No,23,4,2,Full Time,6.0,5,Medio,6,1,4,61800.0,No,5150.0
541,36,No,Unknown,7,3,Other,4,M,3,2, Sales Executive ,4,Single,1,No,22,4,3,Full Time,6.0,5,Alto,6,1,4,62740.0,Yes,5228.33
542,36,No,Unknown,2,4,Life Sciences,3,F,2,1, Research Scientist ,1,Unknown,1,Unknown,11,3,3,Full Time,6.0,3,Alto,6,1,3,43810.0,Yes,3650.83
